degree	word	coefficient
9	YYYXXXXXX	-1/56700
9	YYYXXXXXY	1/21600
9	YYYXXXXYX	-1/60480
9	YYYXXXXYY	-1/60480
9	YYYXXXYXX	-1/30240
9	YYYXXXYXY	1/7560
9	YYYXXXYYX	-1/30240
9	YYYXXXYYY	1/45360
9	YYYXXYXXX	-1/30240
9	YYYXXYYXX	-1/20160
9	YYYXXYYYX	-1/30240
9	YYYXXYYYY	-1/60480
9	YYYXYXXXX	-1/60480
9	YYYXYXXXY	1/7560
9	YYYXYXYXY	1/2520
9	YYYXYXYYY	1/7560
9	YYYXYYXXX	-1/30240
9	YYYXYYYXX	-1/30240
9	YYYXYYYXY	1/7560
9	YYYXYYYYX	-1/60480
9	YYYXYYYYY	1/21600
9	YYYYXXXXX	1/75600
9	YYYYXXXXY	-1/17280
9	YYYYXXXYX	-1/60480
9	YYYYXXXYY	-1/60480
9	YYYYXXYXX	1/40320
9	YYYYXXYXY	-1/10080
9	YYYYXXYYX	1/40320
9	YYYYXXYYY	-1/60480
9	YYYYXYXXX	-1/60480
9	YYYYXYXXY	-1/10080
9	YYYYXYXYX	-1/10080
9	YYYYXYXYY	-1/10080
9	YYYYXYYXX	1/40320
9	YYYYXYYXY	-1/10080
9	YYYYXYYYX	-1/60480
9	YYYYXYYYY	-1/17280
9	YYYYYXXXX	1/75600
9	YYYYYXXXY	1/21600
9	YYYYYXXYX	1/33600
9	YYYYYXXYY	1/33600
9	YYYYYXYXX	1/33600
9	YYYYYXYXY	1/12600
9	YYYYYXYYX	1/33600
9	YYYYYXYYY	1/21600
9	YYYYYYXXX	-1/56700
9	YYYYYYXXY	-1/43200
9	YYYYYYXYX	-1/43200
9	YYYYYYXYY	-1/43200
9	YYYYYYYXX	1/151200
9	YYYYYYYXY	1/151200
9	YYYYYYYYX	-1/1209600
10	XXXXXXXXYY	-1/2419200
10	XXXXXXXYXY	1/302400
10	XXXXXXXYYY	1/302400
10	XXXXXXYXXY	-1/86400
10	XXXXXXYXYY	-1/86400
10	XXXXXXYYXY	-1/86400
10	XXXXXXYYYY	-37/3628800
10	XXXXXYXXXY	1/43200
10	XXXXXYXXYY	1/67200
10	XXXXXYXYXY	1/25200
10	XXXXXYXYYY	1/43200
10	XXXXXYYXXY	1/67200
10	XXXXXYYXYY	1/67200
10	XXXXXYYYXY	1/43200
10	XXXXXYYYYY	1/67200
10	XXXXYXXXXY	-1/34560
10	XXXXYXXXYY	-1/120960
10	XXXXYXXYXY	-1/20160
10	XXXXYXXYYY	-1/120960
10	XXXXYXYXXY	-1/20160
10	XXXXYXYXYY	-1/20160
10	XXXXYXYYXY	-1/20160
10	XXXXYXYYYY	-1/34560
10	XXXXYYXXXY	-1/120960
10	XXXXYYXXYY	1/80640
10	XXXXYYXYXY	-1/20160
10	XXXXYYXYYY	-1/120960
10	XXXXYYYXXY	-1/120960
10	XXXXYYYXYY	-1/120960
10	XXXXYYYYXY	-1/34560
10	XXXXYYYYYY	-37/3628800
10	XXXYXXXXXY	1/43200
10	XXXYXXXXYY	-1/120960
10	XXXYXXXYXY	1/15120
10	XXXYXXXYYY	1/90720
10	XXXYXXYYYY	-1/120960
10	XXXYXYXXXY	1/15120
10	XXXYXYXYXY	1/5040
10	XXXYXYXYYY	1/15120
10	XXXYXYYYXY	1/15120
10	XXXYXYYYYY	1/43200
10	XXXYYXXXXY	-1/120960
10	XXXYYXXXYY	-1/60480
10	XXXYYXXYYY	-1/60480
10	XXXYYXYYYY	-1/120960
10	XXXYYYXXXY	1/90720
10	XXXYYYXXYY	-1/60480
10	XXXYYYXYXY	1/15120
10	XXXYYYXYYY	1/90720
10	XXXYYYYXXY	-1/120960
10	XXXYYYYXYY	-1/120960
10	XXXYYYYYXY	1/43200
10	XXXYYYYYYY	1/302400
10	XXYXXXXXXY	-1/86400
10	XXYXXXXXYY	1/67200
10	XXYXXXXYXY	-1/20160
10	XXYXXXXYYY	-1/120960
10	XXYXXXYYYY	-1/120960
10	XXYXXYXXYY	1/20160
10	XXYXXYXYXY	-1/10080
10	XXYXXYYXXY	1/20160
10	XXYXXYYXYY	1/20160
10	XXYXXYYYYY	1/67200
10	XXYXYXXXXY	-1/20160
10	XXYXYXXYXY	-1/10080
